id,algorithm,interswap,seed,model,p,num_modes,theta,rho,bf,filename,t1,tf,num_temp,gibbs_step,tot_sim,burn_in,iterations,total_swap,direction,comments,Servers comments,count swaps,comments,other comments
101,PT_A_IIT,300,101,bimodal,1000,2,0.1,-2.5,sq,,30,,6,,4,10000,,300,-1,,,,,
102,PT_A_IIT,300,102,multimodal,1000,7,0.1,-2.5,sq,,20.1696841580324,,6,,4,10000,,300,-1,,,,,
103,PT_A_IIT,300,103,multimodal,1000,7,0.1,-2.5,sq,,15.7061191178756,,6,,4,10000,,300,-1,,,,,
104,PT_IIT_Z,100,104,multimodal,1000,5,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,,,,
105,PT_IIT_Z,100,105,bimodal,1000,2,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,,,,
106,PT_A_IIT,300,106,multimodal,1000,5,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,,,,
107,PT_A_IIT,300,107,bimodal,1000,2,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,,,,
108,PT_A_IIT,300,108,multimodal,20,5,0.1,-2.5,sq,,50,,5,,4,1000,,100,-1,,,,,
109,PT_A_IIT,300,109,multimodal,20,7,0.1,-2.5,sq,,50,,5,,4,1000,,100,-1,,,,,
110,PT_IIT_Z,100,110,multimodal,1000,7,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,,,,
111,PT_A_IIT,300,111,multimodal,1000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,,,,
112,PT_IIT_Z,100,112,multimodal,1000,5,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,,,,
113,PT_A_IIT,300,113,multimodal,1000,5,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,,,,
114,PT_A_IIT,300,114,multimodal,1000,7,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,until reaching temperature 20,Running in Probability,,,
